area,bedrooms,bathrooms,stories,parking,mainroad,guestroom,price
1360,1,1,2,1,0,1,250900.37713398202
1794,2,2,3,2,1,1,352783.5584216078
1630,3,2,3,2,1,0,321823.710596385
1595,3,3,3,0,0,1,334499.54098670935
2138,4,1,2,3,1,1,409433.5527032679
2669,2,2,2,0,1,1,454656.8475912613
966,3,1,3,0,0,1,216770.59621516222
1738,1,2,1,0,1,0,344866.1094411077
830,4,2,2,2,0,1,212163.44668185845
1982,1,1,1,0,0,0,357255.5308248405
2635,2,2,1,0,1,1,504536.6342946019
3419,2,2,2,3,1,0,578781.6219524465
630,2,3,2,3,1,0,191680.8841639793
2185,4,2,1,0,0,1,446824.6383563262
1269,3,2,1,3,1,1,279928.4007718191
2891,4,2,3,3,0,0,537386.242915308
2015,1,3,3,0,1,1,353849.89051250217
3353,4,1,2,2,1,1,585316.7619936067
2933,1,3,3,0,1,1,536061.7736933788
1715,4,3,3,3,0,0,420835.652859025
1455,3,1,3,2,1,1,305329.8633305662
2824,1,3,3,1,1,1,480347.4735549729
1684,2,1,1,2,0,1,279495.01618453383
959,2,3,2,3,0,0,230134.20628123407
521,4,1,3,2,1,1,202694.135961045
2800,2,2,1,0,1,0,494747.0736575079
1247,1,3,1,1,1,1,270255.11727020255
3404,2,3,1,1,0,0,605782.887738352
974,3,3,3,1,0,1,231695.41824962097
1582,3,3,3,3,0,1,347681.8943991513
3058,4,2,2,3,0,0,543292.3575959521
2547,1,3,3,1,1,0,461620.8852909585
3247,3,2,3,2,0,0,554924.6129134903
1475,3,2,1,1,0,1,286370.4785713241
2306,1,2,2,2,0,1,410345.688675092
689,2,2,3,2,1,1,188920.570002769
3234,2,1,3,3,1,1,567878.769939724
1062,4,1,1,2,0,0,237400.81086874372
2399,2,3,1,1,0,1,458623.915381288
1767,1,1,3,3,1,1,367273.117362252
3379,3,1,2,0,1,1,595078.4353479398
2028,2,3,2,0,1,1,366000.37043123366
1146,4,3,1,3,1,1,278691.80028860294
2568,2,3,1,1,1,1,463714.299385748
3388,1,1,3,0,1,1,556057.0033842287
2714,4,1,1,0,1,0,483947.0235805921
1797,2,3,3,2,1,1,342663.43013437086
2935,4,2,2,2,0,1,569121.3293905659
1100,1,3,2,1,0,1,260904.4134304343
2863,3,2,3,3,0,1,537014.0452380351
2561,1,2,1,1,0,0,429907.81340159633
741,1,3,2,3,0,0,212726.78590145108
2541,1,3,1,0,0,0,448938.09873560537
3324,1,3,2,2,1,0,602732.7556843618
3112,3,1,3,1,1,0,546618.9583548032
3445,3,2,3,1,0,0,635536.2617172834
1863,4,1,3,3,0,1,398787.75751379714
2639,2,1,2,3,1,0,479040.72590871865
1890,3,3,1,1,1,0,397619.4584086231
1978,3,1,1,3,1,1,368316.76116332057
3056,2,3,1,1,0,0,504049.9928130595
1275,3,2,2,1,1,1,287681.0102609495
534,1,3,2,1,0,1,150958.19108373064
2753,1,1,2,0,0,0,446995.65315444744
2455,2,1,2,3,1,1,470576.24078698806
2085,4,3,2,2,1,0,428092.7842642126
1521,4,3,1,2,0,0,327421.3814707097
3113,2,1,2,3,1,1,538408.9488249181
1629,2,2,2,1,1,1,341972.4627855905
2000,1,2,1,2,0,0,366037.5156261584
1202,4,3,2,2,1,1,314773.19353788585
2949,3,2,1,3,0,1,514404.7206672764
3277,1,1,1,2,0,0,557631.7692009399
2079,2,3,3,1,1,0,443625.36847532744
661,4,1,3,3,0,1,211990.7679464941
701,3,1,3,1,0,0,159964.2342551142
2481,3,2,3,2,1,0,454105.954315276
1495,1,3,2,2,1,0,298742.4608881382
2817,4,3,3,1,1,0,526262.4557196295
1315,4,2,1,0,0,0,267828.1474862547
955,2,1,2,2,0,0,213898.84932735696
1775,4,1,3,0,1,0,358049.04881499696
1516,4,1,1,2,0,1,306445.7811277258
2843,1,1,2,0,1,0,469625.94500399707
3267,4,3,2,0,1,1,595573.0814567091
837,3,3,3,0,0,1,236481.51015058003
1378,1,2,2,1,1,1,236460.8394500037
1576,1,2,1,0,0,0,278172.19183042535
1291,2,3,2,0,0,0,271409.7518985465
2764,4,3,1,0,1,1,529271.6613709459
1263,2,1,2,2,0,0,227249.08121432352
2735,3,1,3,0,1,1,469991.80635093764
879,1,2,1,2,0,0,195529.09989756267
992,1,3,2,0,0,0,172710.9551948617
1680,1,2,2,0,0,1,333643.78221521573
2562,3,3,2,1,1,1,490831.8398298562
564,3,1,1,2,0,1,180774.42425686875
3068,2,2,1,0,1,0,500458.55246860976
1867,2,2,1,2,0,1,338322.8106256352
1652,2,3,3,2,0,0,289642.6334614623
2527,4,1,3,3,1,0,464136.2047400945
3195,1,2,1,1,1,0,532573.0623855625
1995,1,1,2,1,1,1,317995.8483998313
1662,2,2,3,1,1,1,329407.463756032
2022,1,1,1,3,1,1,323553.19646279514
3140,2,3,2,3,0,0,552850.7963017715
891,4,2,3,1,0,0,249592.23854216473
2198,4,2,2,3,1,1,439000.40499771753
918,3,1,2,3,0,0,243864.14745223607
2836,4,1,2,3,0,0,524125.85126789217
878,2,2,2,1,0,1,228662.95697213942
2296,4,3,3,1,1,1,449101.0951824343
2778,3,1,3,1,0,1,476917.16743214795
2588,1,1,3,3,0,0,456112.26832770737
2682,2,1,1,1,0,0,415745.9581673428
700,1,2,3,3,1,0,197422.87499524181
2363,3,2,2,0,0,0,417971.6036690614
1279,3,2,3,3,0,0,311449.9367509331
3477,3,2,2,2,1,1,630140.2450815882
1002,1,3,1,1,1,0,241234.12860680255
2954,1,3,2,1,0,0,495015.8783720991
2251,1,2,2,2,0,0,418614.20537523454
1304,1,3,2,3,1,1,316494.24988728564
2646,3,1,1,0,1,1,461125.72353239317
3231,3,1,3,2,1,1,560862.9876126703
2395,2,1,3,2,1,0,420814.2559753118
3273,2,2,1,3,1,1,597730.2598403193
2070,1,1,2,1,1,1,422186.91484846623
1460,4,3,3,3,1,1,329367.0985964956
3160,4,2,1,2,0,0,534829.5989991488
1985,3,3,3,2,1,1,431178.2836134896
3190,3,1,1,1,1,0,528421.7294126671
1528,3,1,2,1,0,0,312567.1076845654
1002,2,1,3,1,1,1,235606.92347053293
3314,2,2,1,3,1,0,573620.4539500407
897,3,3,3,1,0,1,243375.43069043377
1370,3,2,3,2,1,0,311103.9673830679
3342,3,2,3,2,0,1,590707.8700442765
892,4,1,3,0,0,1,179672.7793672301
706,2,2,1,3,0,1,181473.0145717807
1538,4,2,2,0,0,0,342161.2073212833
2381,4,1,1,2,1,1,409974.62673590955
3439,3,2,1,0,0,0,558534.2995972211
1984,3,1,1,2,0,1,371136.53949532023
1363,1,1,2,0,1,0,253221.83725464562
3290,1,1,3,1,0,0,552723.6431916858
1063,4,1,3,0,0,1,226463.63584344677
1520,2,2,3,1,0,1,329249.1657318461
595,3,1,2,1,0,1,158188.01131380422
2423,3,1,3,3,1,1,473389.71044686117
2257,4,2,2,1,0,1,434955.54821942194
3032,1,2,3,1,1,0,531309.8993592198
2778,2,3,3,0,1,1,524236.6731405626
3296,1,2,1,2,0,1,555129.759079339
2178,1,2,2,3,0,0,367896.01943808974
1040,1,3,1,1,0,1,241747.13651431928
1559,1,2,1,3,0,1,312212.54572496365
3072,3,2,1,0,1,0,490662.9921728438
1683,3,2,2,1,1,1,329365.9943024865
2222,1,2,2,0,1,1,419147.2092498561
2319,2,3,3,3,0,1,411311.4290704433
3125,4,2,1,0,1,0,569621.3376380149
3229,2,2,3,3,0,1,569525.549286915
3104,2,3,1,0,0,0,556405.6514066798
2097,2,1,2,3,0,1,382527.06421849073
3193,1,3,2,2,0,0,536508.6401400875
1295,3,1,2,0,0,1,263411.7132151828
1551,2,3,1,0,1,0,306042.2902098003
2143,1,3,2,2,1,0,387232.97731718636
1863,2,2,1,2,0,0,385816.86966022773
2481,2,1,3,0,1,0,418728.0363683137
1854,1,2,1,2,0,0,285240.89249880414
2163,3,1,3,1,0,0,427083.9793624299
2029,3,3,1,3,0,1,386678.7305536815
2538,4,3,3,3,1,1,504764.5347806861
1996,1,1,2,3,0,0,345241.8787074193
2737,4,2,3,1,0,0,492156.97131683346
1908,4,2,2,2,1,0,370876.15057473106
1900,4,2,2,2,1,0,365063.6539500607
1806,3,2,3,0,1,1,365195.1952340913
3180,1,3,1,2,0,0,532960.2488464873
3175,4,3,1,0,0,1,579857.2438066789
1472,1,3,1,1,1,1,304453.88103232306
2268,1,3,1,3,0,0,390649.7561294919
1782,3,3,1,3,1,0,368470.42552144715
1209,4,2,2,3,1,1,282993.2335175729
1979,4,2,1,2,0,1,364016.7911473267
1934,1,2,2,0,0,0,353888.63141030265
1148,2,2,2,0,1,0,239773.4944138327
817,3,3,2,1,1,0,211398.9995965904
1757,3,3,3,2,1,1,361438.6552715344
1183,3,3,3,1,1,1,266891.2647785332
1163,3,1,2,0,0,0,272225.36047829094
2498,4,2,3,0,1,1,484382.3729925999
2131,4,2,1,3,1,1,399827.4192559437
1995,2,3,1,2,1,0,389007.31796645623
1636,3,2,2,0,0,0,336640.32353591075
2353,3,2,1,3,0,1,438300.3522506009
2020,1,3,2,2,1,1,417480.4268426625
2989,4,1,2,1,0,0,490493.73715860065
1063,3,1,1,2,0,0,179623.55905239578
1791,2,1,3,2,0,0,339860.34843707504
2136,2,3,1,0,1,0,399929.92286747764
3499,4,2,1,0,1,0,540059.9964349151
1198,2,3,2,2,0,1,254228.4781759597
2660,2,3,2,0,1,1,465826.7537123309
501,4,2,2,0,1,1,142311.07518593688
1141,3,1,2,0,0,1,213929.16470780378
2767,3,1,3,3,0,0,507965.7560319872
2089,2,3,3,3,1,0,398001.89957420586
1354,2,1,3,2,0,0,249437.55730836318
2259,3,3,2,0,1,1,403473.8938228464
2932,4,3,2,3,1,1,587178.1928503165
2161,2,2,2,2,0,1,407842.6473094127
1653,1,2,3,0,1,0,266102.875941942
1576,4,2,2,1,1,1,316755.19841553626
2207,2,3,1,0,0,0,405620.3576878985
3277,2,2,1,0,0,0,569177.8509796567
2195,1,1,2,3,0,0,399066.7751873331
2233,1,1,1,2,1,0,377836.3417948423
1939,3,3,1,2,0,0,336222.4627841392
2794,4,3,3,3,0,0,551504.9798782262
1335,4,2,2,0,0,1,279312.0629735899
702,3,3,2,1,0,0,193677.2402923014
622,4,3,3,0,1,0,199751.59123583007
900,4,1,1,0,1,1,182889.41000847463
1266,4,1,1,1,0,0,262185.0042444598
793,4,2,2,3,1,1,233479.18062226893
2827,4,3,1,2,0,1,514534.22314170405
3431,1,3,3,3,0,1,614072.1159972497
697,4,1,3,3,1,0,178070.00905153388
2430,1,3,2,0,1,0,431119.9444823378
3299,4,1,3,2,0,1,586372.5494587158
2691,3,2,3,2,0,0,456951.44735729875
1108,2,1,2,3,1,0,238058.06778327894
1647,1,3,3,1,0,1,341722.9029336259
686,4,2,3,3,1,1,214835.38151914265
3011,3,1,3,1,0,0,521967.7019497131
2294,2,1,1,2,0,1,410346.88078468334
1159,1,2,2,3,1,1,246093.99782267454
3311,2,2,2,0,1,1,565694.0520091142
2455,3,1,2,3,1,0,427715.92970935063
2950,1,3,1,2,1,0,516201.2644535847
1869,2,1,1,0,1,0,323653.0303279044
2486,4,2,2,0,1,1,477881.79590106645
2034,1,1,1,1,1,0,361369.1990836648
646,2,2,2,0,0,1,177724.18078025762
3411,3,2,1,0,0,0,563484.7929820974
2234,3,3,3,3,0,0,396568.3782875177
2343,1,2,3,2,1,1,449282.7949292955
988,2,2,2,1,1,0,231822.41928194818
3476,1,3,1,3,1,1,592694.1679062782
2459,1,2,1,0,0,0,421948.80399134674
2163,2,3,3,0,1,0,385478.2039496752
3098,2,3,3,1,1,1,585304.8042574055
2885,4,2,1,2,0,1,513077.508964119
3419,2,2,1,1,1,1,568271.4477399021
1140,3,1,1,3,0,0,223565.96887522226
2302,1,3,1,1,0,0,399670.3002799958
3020,1,1,1,0,1,0,492759.75853401073
2469,3,2,1,3,1,1,463315.60560798814
2698,2,1,2,0,1,1,459107.8511208375
1938,3,3,1,2,0,1,383704.79146922956
2134,3,1,3,0,0,0,386265.5854866687
762,4,3,2,0,0,0,193348.540088512
2287,3,2,1,1,1,1,409086.1875115747
2691,1,2,3,0,1,0,483817.31085789675
2893,3,3,2,3,1,1,556436.5207199581
1123,1,2,3,3,1,0,252592.72710322528
1516,1,2,1,2,0,0,297883.90931980405
1380,1,2,1,3,0,1,229773.4468766473
2549,2,2,1,1,0,0,428062.1071698659
3444,4,3,1,2,0,0,587473.6577533071
1827,1,1,2,3,1,1,387175.445302757
2801,1,1,2,1,1,1,492414.3964079197
952,2,2,3,3,1,0,234218.76032683448
1683,1,1,1,3,0,1,318149.8115769231
2556,3,1,3,0,0,0,471725.5132751023
2182,3,2,2,3,1,1,449412.63383048144
3363,4,2,1,3,1,0,619884.0697020071
2755,1,1,1,1,0,0,442999.19353435875
1654,2,3,2,1,1,1,330072.69161032094
903,3,2,2,0,0,0,186206.2164003863
2699,2,3,2,3,0,0,501898.94533458014
2601,2,1,2,0,0,1,439971.2852934244
2196,3,2,2,3,1,1,421030.5793896561
1127,2,3,1,2,1,0,243636.77276544395
1086,3,2,2,2,0,1,276903.8526126938
2148,2,1,1,0,1,1,396253.6082568334
1943,3,3,1,0,0,0,402057.8771225633
1945,1,1,2,0,0,0,340330.3259978422
603,4,1,2,1,0,1,169589.08880509797
753,3,2,1,1,0,1,184441.95098510152
3057,3,3,2,1,1,1,540143.9690547705
1996,4,1,2,0,0,0,342171.620164972
598,3,1,2,3,0,0,172846.8204378575
2700,3,3,3,2,1,0,496306.4257903349
2384,2,1,1,0,0,0,401829.15507734474
3461,4,1,3,1,0,0,622459.3336619042
2419,1,3,2,1,1,0,426540.92133938207
1377,3,3,3,0,1,0,346759.63269183156
837,4,3,2,0,1,1,212736.097581118
3369,2,3,3,1,0,1,615153.8951297969
1456,1,2,2,3,1,0,301895.12362264725
2204,4,3,3,1,1,0,469481.904998923
660,1,2,3,1,0,0,139676.0477728062
2103,1,2,3,0,0,1,424590.4183390722
3348,1,2,1,3,0,0,555624.4983243418
897,3,1,3,1,0,1,224082.95878598563
1800,3,2,1,1,0,1,370889.74977893004
1315,2,2,2,2,1,1,270156.75865009567
2027,2,1,3,0,1,1,391564.5272589436
2419,4,1,2,2,1,1,440420.6070955701
1915,2,1,2,2,0,0,373189.23160915676
1658,1,3,3,1,0,0,308496.38537542534
1718,1,1,1,0,0,1,293470.13964991516
900,3,1,3,3,1,0,232122.4140202392
1139,1,2,2,1,1,1,256535.9953944523
3235,4,1,2,3,0,1,612619.5261685309
959,1,3,3,3,1,0,229810.62020771022
1454,1,1,1,0,0,0,270874.69548547216
969,4,3,1,2,1,0,288755.16897268273
1545,2,1,2,0,1,0,293064.66721729835
3297,2,1,2,3,1,0,556547.3449975941
2193,4,1,1,1,0,1,364349.32521129417
2585,3,1,3,3,1,0,516415.51534822123
2777,1,3,2,1,1,0,488661.11340151273
1062,4,3,1,1,0,0,228272.830015389
2985,1,2,2,0,1,1,485583.3983158047
2299,3,3,3,3,0,0,429785.71619219915
2574,1,1,1,2,0,1,449494.1058645433
725,4,2,2,3,0,0,224907.37055349475
1297,1,2,3,3,0,0,280592.43742911075
2831,2,2,2,2,0,1,502296.7565470673
3426,3,1,3,0,1,0,564989.5882099733
1459,3,3,3,3,0,0,309251.18108195905
2004,3,1,1,3,0,1,348467.6117863745
952,4,2,3,1,0,0,247256.4201105253
1315,3,1,2,3,0,1,253983.7504227659
1158,2,1,3,2,1,1,240415.07777892816
1046,4,3,3,1,0,1,263230.2551400299
1715,2,3,1,0,1,1,302853.9969380731
516,1,2,3,1,0,1,146335.42861681693
1743,1,1,3,2,1,0,325306.94237928925
2705,1,1,2,2,0,0,477434.1829192338
3024,1,3,1,1,0,0,496202.689099325
1569,2,1,1,0,1,1,264366.0896337533
3065,4,1,1,1,0,1,522268.8070081743
2646,4,1,3,0,1,1,465938.1741312797
2268,3,3,1,1,0,1,424983.0918362625
1560,2,2,3,2,1,0,284801.3027634679
2827,1,2,3,3,0,0,484943.0919324544
3044,2,1,2,3,0,1,506032.5666035556
801,3,2,2,0,1,1,216505.1415417214
680,3,3,2,0,0,0,167788.7058074927
1106,2,3,2,0,0,1,208178.08482803003
1199,2,2,2,2,0,1,250813.59806130902
1492,2,2,3,1,0,1,308197.7228054902
1639,4,1,3,2,0,0,326425.8961347855
690,1,2,1,3,0,0,148273.54441561786
2800,2,1,3,0,1,1,477568.7579883147
1480,2,1,3,1,1,0,295258.9606488407
3475,2,3,2,3,1,1,605461.025015209
2506,3,3,3,3,0,1,479330.3405717893
1684,3,3,2,3,1,0,374608.93141774746
627,4,3,1,2,0,1,167023.5384218871
2565,1,2,1,0,0,1,430876.6596051946
2316,4,3,3,3,0,0,426620.2117440599
2258,1,2,1,0,0,1,390258.5934001991
3113,3,3,3,2,1,1,562373.8157840187
1069,3,2,1,3,0,1,262741.8362606159
1846,3,1,2,2,1,0,325361.053807093
2395,4,2,2,2,0,1,463091.5807360202
3233,2,2,2,0,1,0,579372.6215705299
1125,2,3,2,3,1,1,250136.21197159062
3401,3,2,3,2,1,1,595912.3014201012
2186,2,1,1,3,1,1,379016.087112468
654,2,1,3,0,1,1,159382.74623191392
3037,4,3,2,2,1,0,577898.4359837893
1909,1,1,3,0,0,0,320999.90132225753
1284,3,2,1,3,1,1,262180.8354958729
745,3,1,3,3,0,1,157374.9258683342
2000,4,3,1,0,1,1,431038.9501302479
2205,4,2,3,1,0,1,462359.91260829294
3306,2,3,1,2,1,1,596104.7407897691
1037,3,2,1,3,1,1,231342.3261115003
2390,1,1,2,3,0,1,431454.04230263294
2341,4,3,1,2,1,1,479124.1383498613
1420,1,3,2,0,1,0,279915.03737174533
2955,1,2,2,0,1,0,504077.3708799778
1024,3,3,2,0,0,0,260235.36458978985
3375,3,2,3,1,1,1,571440.7728588718
2029,4,2,3,1,0,1,422318.45646244346
3450,3,2,3,3,1,1,619316.9237728697
535,3,2,3,0,1,0,145998.43395977898
1184,3,1,1,2,0,1,221993.87053411323
519,1,2,1,3,1,0,127555.55730961823
2868,4,3,3,2,1,1,530998.585597976
